facility_sk,ccn,facility_name,address,city,state_abbr,zip_code,county_name,county_fips,hospital_type,hospital_ownership,emergency_services,is_birthing_friendly,overall_rating,lat,lon
52,250141,BAPTIST MEMORIAL HOSPITAL DESOTO,7601 SOUTHCREST PARKWAY,SOUTHAVEN,MS,38671,DE SOTO,,Acute Care Hospitals,Proprietary,True,True,3.0,,
56,250167,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,4250 BETHEL ROAD,OLIVE BRANCH,MS,38654,DE SOTO,,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4.0,,
100,254005,PARKWOOD BEHAVIORAL HEALTH SYSTEM,8135 GOODMAN ROAD,OLIVE BRANCH,MS,38654,DE SOTO,,Psychiatric,Proprietary,False,False,,,
1,250001,UNIVERSITY OF MISSISSIPPI MED CENTER,2500 N STATE ST,JACKSON,MS,39216,HINDS,28049,Acute Care Hospitals,Government - State,True,True,2.0,32.266702,-90.442821
2,250002,TISHOMINGO HEALTH SERVICES INC,1777 CURTIS DRIVE,IUKA,MS,38852,TISHOMINGO,28141,Acute Care Hospitals,Voluntary non-profit - Private,True,False,2.0,34.740434,-88.239323
3,250004,NORTH MISSISSIPPI MEDICAL CENTER,830 S GLOSTER STREET,TUPELO,MS,38801,LEE,28081,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2.0,34.289888,-88.680416
4,250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,200 HWY 30 WEST,NEW ALBANY,MS,38652,UNION,28145,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4.0,34.490474,-89.003857
5,250007,Memorial Hospital Biloxi,150 REYNOIR STREET,BILOXI,MS,39530,HARRISON,28047,Acute Care Hospitals,Proprietary,True,True,1.0,30.41605,-89.081643
6,250009,MAGNOLIA REGIONAL HEALTH CENTER,611 ALCORN DRIVE,CORINTH,MS,38834,ALCORN,28003,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2.0,34.880771,-88.580265
7,250017,PROGRESSIVE HEALTH GROUP OF HOUSTON,1002 EAST MADISON STREET,HOUSTON,MS,38851,CHICKASAW,28017,Acute Care Hospitals,Proprietary,False,False,,33.9208,-88.947864
8,250018,JASPER GENERAL HOSPITAL,15 SOUTH 6TH STREET,BAY SPRINGS,MS,39422,JASPER,28061,Acute Care Hospitals,Government - Local,False,False,,32.019148,-89.118882
9,250019,MEMORIAL HOSPITAL AT GULFPORT,4500 13TH STREET,GULFPORT,MS,39502,HARRISON,28047,Acute Care Hospitals,Government - Local,True,True,3.0,30.41605,-89.081643
10,250020,WEBSTER GENERAL HOSPITAL/ SWING BED,70 MEDICAL PLAZA,EUPORA,MS,39744,WEBSTER,28155,Acute Care Hospitals,Voluntary non-profit - Other,True,False,4.0,33.613068,-89.284826
11,250025,NORTH MISSISSIPPI MEDICAL CENTER-GILMORE AMORY,1105 EARL FRYE BLVD,AMORY,MS,38821,MONROE,28095,Acute Care Hospitals,Proprietary,True,True,3.0,33.892242,-88.480467
