geo_sk,tract_fips,county_fips,county_name,state_fips,state_abbr,region,is_delta,is_gulf_coast,is_rural,total_population,centroid_lat,centroid_lon
1,28001000101,28001,Adams,28,MS,Other,False,False,,4710.0,31.50249,-91.241515
2,28001000102,28001,Adams,28,MS,Other,False,False,,2350.0,31.416341,-91.296345
3,28001000200,28001,Adams,28,MS,Other,False,False,,3930.0,31.654084,-91.369364
4,28001000300,28001,Adams,28,MS,Other,False,False,,1774.0,31.571829,-91.385798
5,28001000400,28001,Adams,28,MS,Other,False,False,,2983.0,31.562869,-91.377616
6,28001000500,28001,Adams,28,MS,Other,False,False,,2966.0,31.578821,-91.319346
7,28001000600,28001,Adams,28,MS,Other,False,False,,2701.0,31.5493,-91.378987
37,28011950400,28011,Bolivar,28,MS,Delta,True,False,,3788.0,33.644291,-90.974428
38,28011950500,28011,Bolivar,28,MS,Delta,True,False,,5183.0,33.670324,-90.6911
51,28017950100,28017,Chickasaw,28,MS,Other,False,False,,3757.0,34.013819,-88.797221
52,28017950200,28017,Chickasaw,28,MS,Other,False,False,,3343.0,33.996875,-89.022052
53,28017950300,28017,Chickasaw,28,MS,Other,False,False,,4907.0,33.907046,-88.996184
8,28001000700,28001,Adams,28,MS,Other,False,False,,1376.0,31.555779,-91.40515
9,28001000800,28001,Adams,28,MS,Other,False,False,,2840.0,31.474992,-91.442682
10,28001000900,28001,Adams,28,MS,Other,False,False,,3795.0,31.527334,-91.386251
11,28003950100,28003,Alcorn,28,MS,Other,False,False,,5244.0,34.95722,-88.434206
54,28017950401,28017,Chickasaw,28,MS,Other,False,False,,2063.0,33.897372,-88.820892
55,28017950402,28017,Chickasaw,28,MS,Other,False,False,,2954.0,33.812474,-89.051776
56,28019950100,28019,Choctaw,28,MS,Other,False,False,,2318.0,33.439982,-89.26545
57,28019950200,28019,Choctaw,28,MS,Other,False,False,,4197.0,33.271748,-89.23136
124,28033070830,28033,DeSoto,28,MS,Delta,True,False,,8318.0,34.958666,-89.760543
125,28033070900,28033,DeSoto,28,MS,Delta,True,False,,6412.0,34.824833,-89.781825
12,28003950201,28003,Alcorn,28,MS,Other,False,False,,3678.0,34.934247,-88.496789
39,28011950601,28011,Bolivar,28,MS,Delta,True,False,,2129.0,33.72918,-90.741695
13,28003950202,28003,Alcorn,28,MS,Other,False,False,,3455.0,34.967976,-88.502846
14,28003950300,28003,Alcorn,28,MS,Other,False,False,,3404.0,34.965376,-88.556484
15,28003950401,28003,Alcorn,28,MS,Other,False,False,,2808.0,34.903867,-88.70457
16,28003950402,28003,Alcorn,28,MS,Other,False,False,,1737.0,34.959333,-88.717189
17,28003950501,28003,Alcorn,28,MS,Other,False,False,,3901.0,34.886287,-88.533863
42,28011950702,28011,Bolivar,28,MS,Delta,True,False,,3673.0,33.729081,-90.718936
18,28003950502,28003,Alcorn,28,MS,Other,False,False,,2801.0,34.924315,-88.529099
19,28003950600,28003,Alcorn,28,MS,Other,False,False,,3663.0,34.839836,-88.420886
20,28003950700,28003,Alcorn,28,MS,Other,False,False,,4026.0,34.804402,-88.620725
21,28005950100,28005,Amite,28,MS,Other,False,False,,4529.0,31.252239,-90.696621
22,28005950200,28005,Amite,28,MS,Other,False,False,,3668.0,31.269704,-90.944027
23,28005950301,28005,Amite,28,MS,Other,False,False,,2061.0,31.080864,-90.953456
24,28005950302,28005,Amite,28,MS,Other,False,False,,2425.0,31.078787,-90.703503
25,28007060100,28007,Attala,28,MS,Other,False,False,,2172.0,33.181471,-89.432069
26,28007060200,28007,Attala,28,MS,Other,False,False,,2794.0,33.167121,-89.663782
27,28007060300,28007,Attala,28,MS,Other,False,False,,3394.0,32.980679,-89.763378
28,28007060400,28007,Attala,28,MS,Other,False,False,,2585.0,32.991314,-89.467824
29,28007060500,28007,Attala,28,MS,Other,False,False,,3454.0,33.057923,-89.576194
43,28013950100,28013,Calhoun,28,MS,Other,False,False,,3526.0,34.042209,-89.330817
211,28047001900,28047,Harrison,28,MS,Gulf Coast,False,True,,2571.0,30.382656,-89.068711
30,28007060600,28007,Attala,28,MS,Other,False,False,,3443.0,33.060168,-89.610424
31,28009950101,28009,Benton,28,MS,Other,False,False,,2932.0,34.885205,-89.274649
32,28009950102,28009,Benton,28,MS,Other,False,False,,2298.0,34.886498,-89.123605
33,28009950200,28009,Benton,28,MS,Other,False,False,,2407.0,34.678964,-89.192165
34,28011950100,28011,Bolivar,28,MS,Delta,True,False,,2839.0,34.013529,-90.821696
35,28011950200,28011,Bolivar,28,MS,Delta,True,False,,2736.0,33.851053,-90.948908
36,28011950300,28011,Bolivar,28,MS,Delta,True,False,,3042.0,33.868174,-90.7582
40,28011950602,28011,Bolivar,28,MS,Delta,True,False,,4102.0,33.751304,-90.747438
41,28011950701,28011,Bolivar,28,MS,Delta,True,False,,3196.0,33.747526,-90.705944
48,28015950100,28015,Carroll,28,MS,Delta,True,False,,4660.0,33.575763,-89.940295
49,28015950201,28015,Carroll,28,MS,Delta,True,False,,3759.0,33.356665,-89.849688
50,28015950202,28015,Carroll,28,MS,Delta,True,False,,1511.0,33.391584,-90.071106
44,28013950200,28013,Calhoun,28,MS,Other,False,False,,1304.0,33.989405,-89.339762
45,28013950300,28013,Calhoun,28,MS,Other,False,False,,2987.0,33.832297,-89.39806
46,28013950400,28013,Calhoun,28,MS,Other,False,False,,2847.0,33.875969,-89.212728
47,28013950500,28013,Calhoun,28,MS,Other,False,False,,2529.0,33.864584,-89.307854
58,28019950300,28019,Choctaw,28,MS,Other,False,False,,1693.0,33.31654,-89.162072
59,28021950100,28021,Claiborne,28,MS,Other,False,False,,2746.0,32.019279,-90.897468
60,28021950200,28021,Claiborne,28,MS,Other,False,False,,1108.0,31.955377,-90.980306
61,28021950300,28021,Claiborne,28,MS,Other,False,False,,5190.0,31.888442,-90.961045
62,28023950100,28023,Clarke,28,MS,Other,False,False,,4406.0,32.068073,-88.579792
63,28023950201,28023,Clarke,28,MS,Other,False,False,,4058.0,32.176976,-88.810139
64,28023950202,28023,Clarke,28,MS,Other,False,False,,1698.0,32.084583,-88.797035
65,28023950300,28023,Clarke,28,MS,Other,False,False,,2755.0,31.931488,-88.810589
66,28023950400,28023,Clarke,28,MS,Other,False,False,,2636.0,32.010726,-88.716031
