facility_sk,measure_id,measure_name,measure_type,score,discharges,period_start,period_end
1,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,1.0088,182.0,2021-07-01,2024-06-30
1,READM-30-HIP-KNEE-HRRP,READM-30-HIP-KNEE-HRRP,HRRP,0.9096,,2021-07-01,2024-06-30
1,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.043,314.0,2021-07-01,2024-06-30
1,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,1.0187,94.0,2021-07-01,2024-06-30
1,READM-30-CABG-HRRP,READM-30-CABG-HRRP,HRRP,1.0865,78.0,2021-07-01,2024-06-30
1,READM-30-AMI-HRRP,READM-30-AMI-HRRP,HRRP,1.0696,78.0,2021-07-01,2024-06-30
2,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,0.9479,121.0,2021-07-01,2024-06-30
2,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.0034,59.0,2021-07-01,2024-06-30
2,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.985,,2021-07-01,2024-06-30
3,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,1.0385,844.0,2021-07-01,2024-06-30
3,READM-30-HIP-KNEE-HRRP,READM-30-HIP-KNEE-HRRP,HRRP,0.8584,,2021-07-01,2024-06-30
3,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,0.9807,884.0,2021-07-01,2024-06-30
3,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.9138,274.0,2021-07-01,2024-06-30
3,READM-30-CABG-HRRP,READM-30-CABG-HRRP,HRRP,0.9399,303.0,2021-07-01,2024-06-30
3,READM-30-AMI-HRRP,READM-30-AMI-HRRP,HRRP,0.941,259.0,2021-07-01,2024-06-30
4,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,0.9813,219.0,2021-07-01,2024-06-30
4,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.0088,135.0,2021-07-01,2024-06-30
4,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.9621,,2021-07-01,2024-06-30
5,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,1.0832,95.0,2021-07-01,2024-06-30
5,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.0822,49.0,2021-07-01,2024-06-30
5,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.9872,,2021-07-01,2024-06-30
6,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,1.0434,536.0,2021-07-01,2024-06-30
6,READM-30-HIP-KNEE-HRRP,READM-30-HIP-KNEE-HRRP,HRRP,1.3049,234.0,2021-07-01,2024-06-30
6,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,0.9179,366.0,2021-07-01,2024-06-30
6,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.9768,160.0,2021-07-01,2024-06-30
6,READM-30-CABG-HRRP,READM-30-CABG-HRRP,HRRP,0.9556,,2021-07-01,2024-06-30
6,READM-30-AMI-HRRP,READM-30-AMI-HRRP,HRRP,1.0027,119.0,2021-07-01,2024-06-30
9,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,0.9728,666.0,2021-07-01,2024-06-30
9,READM-30-HIP-KNEE-HRRP,READM-30-HIP-KNEE-HRRP,HRRP,1.115,,2021-07-01,2024-06-30
9,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.1072,754.0,2021-07-01,2024-06-30
9,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.995,229.0,2021-07-01,2024-06-30
9,READM-30-CABG-HRRP,READM-30-CABG-HRRP,HRRP,0.9117,,2021-07-01,2024-06-30
9,READM-30-AMI-HRRP,READM-30-AMI-HRRP,HRRP,1.0183,282.0,2021-07-01,2024-06-30
10,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,0.9754,148.0,2021-07-01,2024-06-30
10,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.0187,77.0,2021-07-01,2024-06-30
10,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.9934,,2021-07-01,2024-06-30
11,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,1.0235,165.0,2021-07-01,2024-06-30
11,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.0786,66.0,2021-07-01,2024-06-30
11,READM-30-COPD-HRRP,READM-30-COPD-HRRP,HRRP,0.9705,,2021-07-01,2024-06-30
12,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,0.9308,,2021-07-01,2024-06-30
13,READM-30-PN-HRRP,READM-30-PN-HRRP,HRRP,1.0491,223.0,2021-07-01,2024-06-30
13,READM-30-HF-HRRP,READM-30-HF-HRRP,HRRP,1.0038,228.0,2021-07-01,2024-06-30
