county_fips,discipline,avg_hpsa_score,max_hpsa_score,n_hpsa_designations,underserved_population
28001,Dental Health,19.0,19.0,1,
28001,Mental Health,19.0,19.0,1,
28001,Primary Care,19.0,19.0,1,
28003,Dental Health,18.0,18.0,1,
28003,Mental Health,18.0,18.0,1,
28003,Primary Care,20.0,20.0,1,
28005,Dental Health,19.75,21.0,4,
28005,Mental Health,17.75,21.0,4,
28005,Primary Care,21.5,25.0,4,
28007,Dental Health,11.0,11.0,1,
28007,Mental Health,19.0,19.0,1,
28007,Primary Care,20.0,20.0,1,
28009,Dental Health,19.5,21.0,2,
28009,Mental Health,17.5,19.0,2,
28009,Primary Care,19.0,21.0,2,
28011,Dental Health,22.3333333333333,25.0,3,
28011,Mental Health,20.3333333333333,22.0,3,
28011,Primary Care,23.6666666666667,25.0,3,
28013,Dental Health,16.0,16.0,1,
28013,Mental Health,14.0,14.0,1,
28013,Primary Care,20.0,20.0,1,
28015,Dental Health,16.0,16.0,1,
28015,Mental Health,19.0,19.0,1,
28015,Primary Care,21.0,21.0,1,
28017,Dental Health,20.0,20.0,1,
28017,Mental Health,16.0,16.0,1,
28017,Primary Care,18.0,18.0,1,
28019,Dental Health,18.0,19.0,2,
28019,Mental Health,17.5,18.0,2,
28019,Primary Care,20.0,22.0,2,
28021,Dental Health,20.5,25.0,2,
28021,Mental Health,18.5,19.0,2,
28021,Primary Care,19.5,25.0,2,
28023,Dental Health,20.5,25.0,2,
28023,Mental Health,18.0,20.0,2,
28023,Primary Care,21.5,24.0,2,
28025,Dental Health,19.0,19.0,1,
28025,Mental Health,17.0,17.0,1,
28025,Primary Care,20.0,20.0,1,
28027,Dental Health,22.0,23.0,2,
28027,Mental Health,20.5,22.0,2,
28027,Primary Care,23.5,24.0,2,
28029,Dental Health,20.0,20.0,1,
28029,Mental Health,17.0,17.0,1,
28029,Primary Care,22.0,22.0,1,
28031,Dental Health,17.2,18.0,5,
28031,Mental Health,16.8,18.0,5,
28031,Primary Care,19.4,20.0,5,
28035,Dental Health,17.0,21.0,2,
28035,Mental Health,17.0,21.0,2,
28035,Primary Care,21.0,22.0,2,
28037,Dental Health,19.3333333333333,20.0,3,
28037,Mental Health,17.0,19.0,3,
28037,Primary Care,21.3333333333333,22.0,3,
28039,Dental Health,18.0,18.0,1,
28039,Mental Health,17.0,17.0,1,
28039,Primary Care,15.0,15.0,1,
28041,Dental Health,12.0,18.0,2,
28041,Mental Health,15.5,18.0,2,
28041,Primary Care,13.0,14.0,2,
28043,Dental Health,17.0,17.0,1,
28043,Mental Health,19.0,19.0,1,
28043,Primary Care,21.0,21.0,1,
28045,Dental Health,18.0,18.0,1,
28045,Mental Health,13.0,13.0,1,
28045,Primary Care,18.0,18.0,1,
28047,Dental Health,21.5,25.0,2,
28047,Mental Health,17.0,21.0,2,
28047,Primary Care,19.5,21.0,2,
28049,Dental Health,19.0,23.0,3,
28049,Mental Health,19.6666666666667,21.0,3,
28049,Primary Care,21.3333333333333,23.0,3,
28051,Dental Health,18.0,23.0,2,
28051,Mental Health,20.0,21.0,2,
28051,Primary Care,23.0,25.0,2,
28053,Dental Health,18.0,18.0,1,
28053,Mental Health,19.0,19.0,1,
