geo_sk,measure_sk,year_sk,data_value
1,1,2022,0.5494
1,2,2022,0.7529
1,3,2022,0.4753
1,4,2022,0.3979
1,5,2022,0.3203
1,6,2022,44.1
1,7,2022,6.5
1,8,2022,31.1
1,9,2022,12.9
1,10,2022,11.8
1,11,2022,10.8
1,12,2022,34.5
1,13,2022,0.0
1,14,2022,28.6
1,15,2022,13.7
2,1,2022,0.1494
2,2,2022,0.0943
2,3,2022,0.0321
2,4,2022,0.5183
2,5,2022,0.6073
2,6,2022,23.6
2,7,2022,0.0
2,8,2022,6.4
2,9,2022,7.4
2,10,2022,13.6
2,11,2022,0.0
2,12,2022,43.0
2,13,2022,7.8
2,14,2022,34.8
2,15,2022,19.3
3,1,2022,0.5149
3,2,2022,0.6586
3,3,2022,0.5959
3,4,2022,0.9174
3,5,2022,0.1389
3,6,2022,38.0
3,7,2022,8.4
3,8,2022,19.8
3,9,2022,12.2
3,10,2022,11.2
3,11,2022,3.4
3,12,2022,90.4
3,13,2022,5.8
3,14,2022,16.2
3,15,2022,15.0
4,1,2022,0.7287
4,2,2022,0.7943
4,3,2022,0.7107
4,4,2022,0.9725
4,5,2022,0.3284
4,6,2022,56.4
4,7,2022,10.2
4,8,2022,25.0
4,9,2022,10.8
4,10,2022,17.0
4,11,2022,9.3
4,12,2022,98.1
4,13,2022,17.1
4,14,2022,2.9
4,15,2022,37.9
5,1,2022,0.9644
5,2,2022,0.9908
5,3,2022,0.9621
5,4,2022,0.9908
5,5,2022,0.597
5,6,2022,69.9
5,7,2022,21.3
5,8,2022,20.5
5,9,2022,30.1
5,10,2022,16.0
5,11,2022,22.1
5,12,2022,99.5
5,13,2022,24.0
5,14,2022,0.3
5,15,2022,24.5
6,1,2022,0.8713
6,2,2022,0.8552
6,3,2022,0.8668
6,4,2022,0.8005
6,5,2022,0.6051
6,6,2022,48.3
6,7,2022,9.3
6,8,2022,19.9
6,9,2022,17.6
6,10,2022,19.1
6,11,2022,9.3
6,12,2022,73.0
6,13,2022,11.4
6,14,2022,8.2
6,15,2022,23.6
7,1,2022,0.5713
7,2,2022,0.5138
7,3,2022,0.6785
7,4,2022,0.7248
7,5,2022,0.4053
7,6,2022,47.5
7,7,2022,9.4
7,8,2022,10.9
7,9,2022,9.6
7,10,2022,16.0
7,11,2022,21.4
7,12,2022,64.1
7,13,2022,5.5
7,14,2022,0.0
7,15,2022,9.2
8,1,2022,0.6782
8,2,2022,0.4862
8,3,2022,0.8496
8,4,2022,0.5803
8,5,2022,0.6234
8,6,2022,31.6
8,7,2022,8.7
8,8,2022,15.3
8,9,2022,2.3
8,10,2022,26.5
8,11,2022,3.9
8,12,2022,48.0
8,13,2022,11.5
8,14,2022,0.0
8,15,2022,17.0
9,1,2022,0.4276
9,2,2022,0.3195
9,3,2022,0.186
9,4,2022,0.7672
9,5,2022,0.6579
9,6,2022,32.9
9,7,2022,3.2
9,8,2022,10.7
9,9,2022,11.9
9,10,2022,12.1
9,11,2022,7.0
9,12,2022,69.3
9,13,2022,3.8
9,14,2022,25.1
9,15,2022,20.0
10,1,2022,0.4333
10,2,2022,0.2276
10,3,2022,0.6441
10,4,2022,0.3486
10,5,2022,0.6016
10,6,2022,24.2
10,7,2022,3.6
10,8,2022,9.4
10,9,2022,5.2
10,10,2022,15.8
10,11,2022,13.0
10,12,2022,30.9
10,13,2022,5.3
10,14,2022,2.0
10,15,2022,14.0
11,1,2022,0.4414
11,2,2022,0.3471
11,3,2022,0.4087
11,4,2022,0.078
11,5,2022,0.7681
11,6,2022,24.1
11,7,2022,4.0
11,8,2022,11.3
11,9,2022,9.5
11,10,2022,17.1
11,11,2022,4.8
11,12,2022,9.0
11,13,2022,4.7
11,14,2022,15.3
11,15,2022,17.0
12,1,2022,0.9437
12,2,2022,0.9345
12,3,2022,0.7681
12,4,2022,0.3612
12,5,2022,0.9529
12,6,2022,45.5
12,7,2022,10.6
12,8,2022,25.5
12,9,2022,17.6
12,10,2022,19.9
12,11,2022,10.3
12,12,2022,31.5
12,13,2022,19.3
12,14,2022,1.4
12,15,2022,35.5
13,1,2022,0.2506
13,2,2022,0.1414
13,3,2022,0.5281
13,4,2022,0.0401
13,5,2022,0.465
13,6,2022,11.3
13,7,2022,2.7
13,8,2022,9.2
13,9,2022,10.9
13,10,2022,20.9
13,11,2022,0.6
13,12,2022,5.3
13,13,2022,4.4
13,14,2022,8.4
13,15,2022,8.8
14,1,2022,0.6437
14,2,2022,0.6644
14,3,2022,0.3295
14,4,2022,0.164
14,5,2022,0.8863
14,6,2022,37.7
14,7,2022,5.1
14,8,2022,18.4
14,9,2022,11.4
14,10,2022,26.2
14,11,2022,0.7
14,12,2022,16.2
14,13,2022,15.9
14,14,2022,13.7
14,15,2022,38.2
15,1,2022,0.3069
15,2,2022,0.3046
15,3,2022,0.2916
15,4,2022,0.0138
15,5,2022,0.5786
15,6,2022,24.3
15,7,2022,0.1
15,8,2022,21.7
15,9,2022,6.6
15,10,2022,15.5
15,11,2022,11.7
15,12,2022,2.0
15,13,2022,4.2
15,14,2022,30.7
15,15,2022,20.1
16,1,2022,0.4138
16,2,2022,0.4575
16,3,2022,0.3513
16,4,2022,0.0034
16,5,2022,0.6246
16,6,2022,25.3
16,7,2022,4.6
16,8,2022,19.2
16,9,2022,12.6
16,10,2022,17.9
16,11,2022,4.2
16,12,2022,0.2
16,13,2022,3.0
16,14,2022,29.9
16,15,2022,20.1
17,1,2022,0.8678
17,2,2022,0.8874
17,3,2022,0.659
17,4,2022,0.3268
17,5,2022,0.8967
17,6,2022,40.1
17,7,2022,11.8
17,8,2022,31.6
17,9,2022,17.9
17,10,2022,32.1
