geo_sk,year_sk,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,f_total,ep_pov150,ep_unemp,ep_uninsur,ep_nohsdp,ep_minrty,ep_noveh,ep_noint,ep_disabl,ep_sngpnt,ep_mobile
1,2022,0.5494,0.7529,0.4753,0.3979,0.3203,3.0,44.1,6.5,12.9,31.1,34.5,0.0,13.7,11.8,10.8,28.6
2,2022,0.1494,0.0943,0.0321,0.5183,0.6073,1.0,23.6,0.0,7.4,6.4,43.0,7.8,19.3,13.6,0.0,34.8
3,2022,0.5149,0.6586,0.5959,0.9174,0.1389,2.0,38.0,8.4,12.2,19.8,90.4,5.8,15.0,11.2,3.4,16.2
4,2022,0.7287,0.7943,0.7107,0.9725,0.3284,5.0,56.4,10.2,10.8,25.0,98.1,17.1,37.9,17.0,9.3,2.9
5,2022,0.9644,0.9908,0.9621,0.9908,0.597,7.0,69.9,21.3,30.1,20.5,99.5,24.0,24.5,16.0,22.1,0.3
6,2022,0.8713,0.8552,0.8668,0.8005,0.6051,2.0,48.3,9.3,17.6,19.9,73.0,11.4,23.6,19.1,9.3,8.2
7,2022,0.5713,0.5138,0.6785,0.7248,0.4053,1.0,47.5,9.4,9.6,10.9,64.1,5.5,9.2,16.0,21.4,0.0
8,2022,0.6782,0.4862,0.8496,0.5803,0.6234,2.0,31.6,8.7,2.3,15.3,48.0,11.5,17.0,26.5,3.9,0.0
9,2022,0.4276,0.3195,0.186,0.7672,0.6579,0.0,32.9,3.2,11.9,10.7,69.3,3.8,20.0,12.1,7.0,25.1
10,2022,0.4333,0.2276,0.6441,0.3486,0.6016,1.0,24.2,3.6,5.2,9.4,30.9,5.3,14.0,15.8,13.0,2.0
11,2022,0.4414,0.3471,0.4087,0.078,0.7681,0.0,24.1,4.0,9.5,11.3,9.0,4.7,17.0,17.1,4.8,15.3
12,2022,0.9437,0.9345,0.7681,0.3612,0.9529,2.0,45.5,10.6,17.6,25.5,31.5,19.3,35.5,19.9,10.3,1.4
13,2022,0.2506,0.1414,0.5281,0.0401,0.465,1.0,11.3,2.7,10.9,9.2,5.3,4.4,8.8,20.9,0.6,8.4
14,2022,0.6437,0.6644,0.3295,0.164,0.8863,3.0,37.7,5.1,11.4,18.4,16.2,15.9,38.2,26.2,0.7,13.7
15,2022,0.3069,0.3046,0.2916,0.0138,0.5786,0.0,24.3,0.1,6.6,21.7,2.0,4.2,20.1,15.5,11.7,30.7
16,2022,0.4138,0.4575,0.3513,0.0034,0.6246,0.0,25.3,4.6,12.6,19.2,0.2,3.0,20.1,17.9,4.2,29.9
17,2022,0.8678,0.8874,0.659,0.3268,0.8967,4.0,40.1,11.8,17.9,31.6,28.0,6.0,38.4,32.1,4.2,14.7
18,2022,0.9701,0.9862,0.8014,0.6651,0.9277,4.0,54.1,13.1,26.6,25.7,57.2,10.2,50.3,21.1,17.9,5.3
19,2022,0.4609,0.5874,0.5454,0.0631,0.4282,0.0,33.0,8.8,13.4,12.2,7.2,3.9,20.9,24.6,7.5,25.9
20,2022,0.3368,0.4448,0.4765,0.3704,0.2101,1.0,30.4,5.3,12.5,13.4,32.2,2.6,15.8,29.5,3.4,25.9
21,2022,0.6356,0.3253,0.6636,0.3154,0.9127,1.0,25.0,3.4,11.9,11.7,27.4,10.1,27.0,26.3,8.7,31.3
22,2022,0.7011,0.546,0.7933,0.5413,0.6912,1.0,42.3,8.6,10.3,11.9,44.5,9.1,16.2,24.4,10.7,34.3
23,2022,0.5851,0.654,0.8462,0.5619,0.1952,3.0,35.6,14.3,17.1,10.7,46.2,3.9,50.2,29.8,2.3,46.3
24,2022,0.4977,0.5161,0.7325,0.7041,0.186,3.0,57.2,8.4,7.3,16.4,62.1,4.5,43.0,33.0,10.3,33.3
25,2022,0.4632,0.5862,0.4971,0.3979,0.3226,0.0,43.1,9.5,7.5,14.9,34.5,1.3,29.2,20.9,10.1,28.4
26,2022,0.7322,0.4724,0.9127,0.3177,0.837,2.0,27.6,10.9,12.1,16.0,27.7,8.0,22.7,25.9,2.1,27.1
27,2022,0.5379,0.6092,0.5121,0.7041,0.3479,1.0,34.7,5.4,7.5,18.1,62.1,1.9,24.0,17.3,7.3,38.9
28,2022,0.4885,0.6425,0.3031,0.3532,0.4891,0.0,22.4,7.7,17.2,21.7,31.0,6.2,24.3,24.4,4.2,24.7
29,2022,0.5126,0.3644,0.4466,0.594,0.6958,0.0,41.5,2.2,3.4,8.5,48.9,8.9,14.9,13.2,10.8,0.6
30,2022,0.869,0.8218,0.7141,0.7546,0.8152,2.0,47.6,9.9,13.6,16.6,67.7,20.9,26.4,14.4,15.2,7.1
31,2022,0.3126,0.4092,0.5649,0.7649,0.0608,0.0,26.3,4.3,9.0,21.4,69.2,1.1,41.8,16.8,0.5,21.1
32,2022,0.546,0.4322,0.4638,0.3761,0.7566,0.0,31.3,2.0,10.2,21.0,32.7,2.6,26.6,22.4,6.2,29.6
33,2022,0.8897,0.8276,0.969,0.1044,0.8622,2.0,35.6,7.1,23.0,23.7,11.0,14.6,44.7,29.4,8.7,33.8
34,2022,0.9345,0.9563,0.31,0.9197,0.9724,4.0,60.2,16.7,15.7,21.8,90.5,15.9,35.9,17.7,10.0,18.9
35,2022,0.9977,0.954,0.9552,0.8865,0.9931,3.0,57.7,9.8,17.5,24.8,86.5,18.5,53.8,19.1,13.4,12.7
36,2022,0.7115,0.5989,0.721,0.8819,0.5947,0.0,51.0,2.4,12.1,11.0,86.2,14.2,27.8,17.2,10.5,8.8
37,2022,0.9667,0.8667,0.9564,0.7821,0.9644,1.0,52.8,10.5,13.2,26.2,70.6,8.2,31.1,21.0,10.4,14.0
38,2022,0.8195,0.6609,0.9701,0.7144,0.659,2.0,40.6,4.6,15.1,13.2,63.3,6.6,19.2,17.8,18.3,7.2
39,2022,0.2644,0.2678,0.8634,0.1972,0.0666,0.0,19.5,5.5,9.7,5.1,19.0,1.7,6.9,11.2,11.4,1.2
40,2022,0.0793,0.2092,0.0149,0.3452,0.4466,1.0,16.3,6.9,8.1,9.7,30.7,3.5,5.8,12.4,1.1,0.0
41,2022,0.9862,0.9356,0.93,0.9232,0.9506,6.0,67.9,9.5,13.0,21.9,90.8,19.8,17.8,24.8,19.6,4.5
42,2022,0.8621,0.9644,0.3697,0.8807,0.7233,5.0,59.4,7.7,25.3,23.6,86.1,12.6,35.6,16.4,10.2,7.1
43,2022,0.2977,0.2782,0.5316,0.1239,0.3536,0.0,25.5,5.2,7.6,13.6,12.3,3.7,16.5,22.0,6.4,9.3
44,2022,0.792,0.7207,0.6705,0.6284,0.8519,2.0,42.8,3.9,13.2,18.1,52.9,19.2,33.6,32.4,5.8,4.0
45,2022,0.8287,0.6759,0.9656,0.4622,0.7715,2.0,42.7,1.1,13.0,28.0,39.0,3.6,31.0,23.8,11.7,23.2
46,2022,0.6563,0.4655,0.6935,0.4667,0.7612,2.0,27.3,3.2,13.7,25.8,39.4,5.5,20.6,15.2,6.2,32.4
47,2022,0.8356,0.7345,0.9587,0.6365,0.667,0.0,41.5,7.5,11.9,23.2,53.9,12.8,24.1,23.4,10.3,5.8
48,2022,0.4103,0.4563,0.4661,0.2672,0.4489,1.0,31.9,8.2,6.5,16.7,24.6,1.2,34.9,18.9,7.1,27.5
49,2022,0.7448,0.6023,0.3536,0.6571,0.9575,2.0,48.6,2.1,9.9,26.6,56.1,11.9,38.5,26.0,3.9,27.7
50,2022,0.2287,0.354,0.2687,0.2878,0.2135,0.0,20.9,7.5,5.0,21.6,26.0,0.0,43.8,15.9,3.6,18.3
51,2022,0.8345,0.6989,0.62,0.7936,0.9311,0.0,42.5,5.4,12.1,16.2,72.1,13.0,31.0,13.7,16.2,17.9
52,2022,0.769,0.6299,0.8875,0.3842,0.7819,2.0,44.2,3.3,9.5,25.2,33.5,6.5,31.5,20.8,10.2,41.2
53,2022,0.8138,0.608,0.9288,0.5872,0.845,4.0,36.2,2.6,8.1,28.1,48.6,7.9,24.8,19.4,10.7,9.1
54,2022,0.6621,0.6954,0.9518,0.6181,0.2067,2.0,23.4,3.2,18.3,29.2,51.7,2.9,47.4,17.7,7.8,25.1
55,2022,0.5563,0.4241,0.6625,0.57,0.5431,1.0,24.3,1.5,8.7,20.9,46.9,16.6,32.8,17.8,10.0,31.9
56,2022,0.2046,0.2621,0.4811,0.0872,0.2055,2.0,23.8,3.8,8.7,13.9,9.7,2.4,27.3,27.4,2.3,19.2
57,2022,0.6736,0.5667,0.5499,0.4266,0.8416,0.0,32.1,5.1,14.6,12.6,36.7,5.5,19.5,25.0,6.2,22.0
58,2022,0.8092,0.7598,0.7003,0.6491,0.8014,1.0,40.6,19.9,11.7,13.0,55.5,11.4,12.5,22.8,14.8,20.1
59,2022,0.6586,0.7218,0.2468,0.8429,0.6406,1.0,52.2,8.2,16.0,15.1,78.1,10.4,29.6,15.0,4.2,47.2
60,2022,0.7207,0.8391,0.341,0.9106,0.5488,3.0,49.9,20.2,12.9,15.5,89.7,10.5,23.1,19.1,4.9,8.3
61,2022,0.7839,0.8057,0.0356,0.9495,0.992,4.0,46.7,6.5,22.7,20.6,94.5,13.6,24.0,9.5,3.3,34.6
62,2022,0.2839,0.1552,0.6096,0.2878,0.3617,1.0,24.6,1.1,9.8,11.6,26.0,2.9,26.3,22.4,9.9,42.9
63,2022,0.3322,0.3011,0.6521,0.1938,0.3077,0.0,21.3,4.3,13.1,11.5,18.9,6.0,26.5,24.6,9.0,21.7
64,2022,0.4586,0.8644,0.271,0.4243,0.1263,2.0,39.0,9.1,13.8,28.9,36.5,2.7,28.4,31.4,0.0,29.0
65,2022,0.923,0.8632,0.9036,0.8005,0.7979,4.0,50.2,15.5,11.9,17.7,73.0,13.5,20.0,34.2,21.1,34.8
66,2022,0.8586,0.7253,0.9782,0.5872,0.6843,1.0,37.8,4.8,25.0,10.1,48.6,11.1,18.2,23.1,10.4,9.2
67,2022,0.1989,0.431,0.1251,0.6502,0.1033,0.0,37.2,5.3,9.9,13.6,55.6,2.0,18.4,3.8,8.8,28.3
68,2022,0.4724,0.5678,0.3341,0.6376,0.3812,0.0,31.3,8.6,7.3,19.3,54.2,8.6,33.8,8.8,5.7,30.8
69,2022,0.7299,0.8529,0.1619,0.8842,0.7268,4.0,55.6,14.6,5.5,28.3,86.3,19.9,14.9,5.5,28.0,4.8
70,2022,0.9195,0.9161,0.9024,0.7282,0.7072,0.0,43.4,11.8,15.8,21.0,65.1,11.1,20.3,14.3,15.6,0.0
71,2022,0.4241,0.5299,0.2147,0.6342,0.4214,0.0,19.8,6.0,15.3,13.5,53.7,2.2,19.0,7.8,5.5,27.7
72,2022,0.7218,0.7632,0.3467,0.9002,0.6785,3.0,59.7,12.7,12.5,15.6,87.4,17.6,32.4,9.4,14.6,17.3
73,2022,0.1931,0.1448,0.0344,0.5,0.6544,1.0,19.4,3.4,7.0,11.1,41.6,0.3,25.8,9.4,5.2,21.8
74,2022,0.7874,0.5379,0.9644,0.7695,0.6854,1.0,36.2,2.8,13.2,24.4,69.4,8.3,23.5,19.5,8.6,13.0
75,2022,0.9057,0.7483,0.9805,0.8257,0.7176,0.0,42.7,9.6,14.9,14.0,75.7,3.8,19.6,20.1,13.5,1.9
76,2022,0.8885,0.9046,0.8175,0.8945,0.6108,1.0,49.2,11.8,12.6,21.4,87.1,11.4,27.9,16.0,17.2,1.2
77,2022,0.6609,0.9471,0.2721,0.9989,0.1848,5.0,57.3,22.5,11.1,28.5,100.0,5.8,20.6,16.3,9.6,0.0
78,2022,0.9782,0.9609,0.8967,0.9633,0.9024,4.0,68.5,16.8,18.3,20.0,96.4,24.6,26.8,13.3,16.1,3.8
79,2022,0.8299,0.8816,0.9334,0.7959,0.3743,1.0,52.6,5.0,16.4,27.8,72.4,5.8,31.0,18.3,11.0,23.8
80,2022,0.4816,0.2609,0.5155,0.805,0.589,0.0,22.5,2.8,9.9,12.6,73.5,14.4,40.5,18.9,11.8,28.8
81,2022,0.223,0.2839,0.1665,0.4805,0.2962,0.0,21.8,1.8,11.2,15.2,40.3,3.6,16.4,15.5,1.8,32.9
82,2022,0.6494,0.4115,0.4076,0.6181,0.9231,2.0,32.5,5.3,13.9,10.3,51.7,9.8,22.1,11.5,6.0,39.0
83,2022,0.9356,0.8609,0.7773,0.9461,0.8806,1.0,47.9,13.1,16.2,21.4,93.9,8.8,30.7,17.6,9.7,10.6
