tract_fips,county_name,region,is_delta,total_population,mri,mri_quintile,distance_to_birthing_hospital_miles,est_drive_minutes,drive_time_band,nearest_hospital_name,svi_overall,pct_uninsured,top_mri,is_care_desert,top_svi,burden_count
28001000101,Adams,Other,False,4710,48.3,4,8.1,10.8,0-15 min,MERIT HEALTH NATCHEZ,0.5494,12.9,False,False,False,0
28001000102,Adams,Other,False,2350,29.9,2,5.3,7.0,0-15 min,MERIT HEALTH NATCHEZ,0.1494,7.4,False,False,False,0
28001000200,Adams,Other,False,3930,45.5,3,11.4,15.3,0-15 min,MERIT HEALTH NATCHEZ,0.5149,12.2,False,False,False,0
28001000300,Adams,Other,False,1774,64.5,5,6.4,8.6,0-15 min,MERIT HEALTH NATCHEZ,0.7287,10.8,True,False,False,1
28001000400,Adams,Other,False,2983,71.8,5,5.7,7.6,0-15 min,MERIT HEALTH NATCHEZ,0.9644,30.1,True,False,True,2
28001000500,Adams,Other,False,2966,58.0,5,6.8,9.0,0-15 min,MERIT HEALTH NATCHEZ,0.8713,17.6,True,False,True,2
28001000600,Adams,Other,False,2701,47.9,4,4.8,6.4,0-15 min,MERIT HEALTH NATCHEZ,0.5713,9.6,False,False,False,0
28011950400,Bolivar,Delta,True,3788,64.7,5,11.8,15.7,0-15 min,BOLIVAR MEDICAL CENTER,0.9667,13.2,True,False,True,2
28011950500,Bolivar,Delta,True,5183,52.5,4,10.2,13.6,0-15 min,BOLIVAR MEDICAL CENTER,0.8195,15.1,False,False,True,1
28017950100,Chickasaw,Other,False,3757,57.1,5,19.6,26.1,15-30 min,NORTH MISSISSIPPI MEDICAL CENTER,0.8345,12.1,True,False,True,2
28017950200,Chickasaw,Other,False,3343,57.8,5,27.8,37.1,15-30 min,CLAY COUNTY MEDICAL CORPORATION,0.769,9.5,True,False,False,1
28017950300,Chickasaw,Other,False,4907,56.4,4,21.4,28.5,15-30 min,CLAY COUNTY MEDICAL CORPORATION,0.8138,8.1,False,False,True,1
28001000700,Adams,Other,False,1376,39.6,3,5.9,7.9,0-15 min,MERIT HEALTH NATCHEZ,0.6782,2.3,False,False,False,0
28001000800,Adams,Other,False,2840,44.5,3,9.7,13.0,0-15 min,MERIT HEALTH NATCHEZ,0.4276,11.9,False,False,False,0
28001000900,Adams,Other,False,3795,30.3,2,3.6,4.8,0-15 min,MERIT HEALTH NATCHEZ,0.4333,5.2,False,False,False,0
28003950100,Alcorn,Other,False,5244,36.7,2,9.9,13.2,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.4414,9.5,False,False,False,0
28017950401,Chickasaw,Other,False,2063,44.0,3,16.6,22.2,15-30 min,CLAY COUNTY MEDICAL CORPORATION,0.6621,18.3,False,False,False,0
28017950402,Chickasaw,Other,False,2954,38.8,3,19.4,25.8,15-30 min,CLAY COUNTY MEDICAL CORPORATION,0.5563,8.7,False,False,False,0
28019950100,Choctaw,Other,False,2318,30.2,2,22.1,29.5,15-30 min,BAPTIST MEMORIAL HOSPITAL-OKTIBBEHA COUNTY,0.2046,8.7,False,False,False,0
28019950200,Choctaw,Other,False,4197,44.9,3,23.3,31.1,15-30 min,BAPTIST MEMORIAL HOSPITAL-OKTIBBEHA COUNTY,0.6736,14.6,False,False,False,0
28033070830,DeSoto,Delta,True,8318,19.4,1,44.1,58.9,30-45 min,BAPTIST MEMORIAL HOSPITAL NORTH MS,0.023,2.6,False,True,False,1
28033070900,DeSoto,Delta,True,6412,24.6,1,37.0,49.3,30-45 min,BAPTIST MEMORIAL HOSPITAL NORTH MS,0.077,8.9,False,True,False,1
28003950201,Alcorn,Other,False,3678,64.6,5,6.0,8.0,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.9437,17.6,True,False,True,2
28011950601,Bolivar,Delta,True,2129,28.8,2,9.3,12.4,0-15 min,BOLIVAR MEDICAL CENTER,0.2644,9.7,False,False,False,0
28003950202,Alcorn,Other,False,3455,22.2,1,7.7,10.2,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.2506,10.9,False,False,False,0
28003950300,Alcorn,Other,False,3404,50.1,4,5.9,7.9,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.6437,11.4,False,False,False,0
28003950401,Alcorn,Other,False,2808,37.0,2,6.9,9.3,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.3069,6.6,False,False,False,0
28003950402,Alcorn,Other,False,1737,36.4,2,9.2,12.2,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.4138,12.6,False,False,False,0
28003950501,Alcorn,Other,False,3901,55.1,4,2.8,3.7,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.8678,17.9,False,False,True,1
28011950702,Bolivar,Delta,True,3673,62.2,5,10.4,13.9,0-15 min,BOLIVAR MEDICAL CENTER,0.8621,25.3,True,False,True,2
28003950502,Alcorn,Other,False,2801,68.1,5,4.2,5.6,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.9701,26.6,True,False,True,2
28003950600,Alcorn,Other,False,3663,44.1,3,9.6,12.8,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.4609,13.4,False,False,False,0
28003950700,Alcorn,Other,False,4026,41.5,3,5.6,7.5,0-15 min,MAGNOLIA REGIONAL HEALTH CENTER,0.3368,12.5,False,False,False,0
28005950100,Amite,Other,False,4529,44.1,3,17.9,23.8,15-30 min,SOUTHWEST MS REGIONAL MEDICAL CENTER,0.6356,11.9,False,False,False,0
28005950200,Amite,Other,False,3668,54.2,4,28.7,38.2,15-30 min,MERIT HEALTH NATCHEZ,0.7011,10.3,False,False,False,0
28005950301,Amite,Other,False,2061,49.2,4,33.3,44.4,30-45 min,SOUTHWEST MS REGIONAL MEDICAL CENTER,0.5851,17.1,False,True,False,1
28005950302,Amite,Other,False,2425,48.8,4,18.6,24.7,15-30 min,SOUTHWEST MS REGIONAL MEDICAL CENTER,0.4977,7.3,False,False,False,0
