geo_sk,tract_fips,county_fips,county_name,region,is_delta,total_population,nearest_hospital_sk,nearest_hospital_name,distance_miles,distance_miles_rounded,est_drive_minutes,drive_time_band,is_care_desert
1,28001000101,28001,Adams,Other,False,4710.0,34,MERIT HEALTH NATCHEZ,8.10894317497235,8.1,10.8,0-15 min,False
2,28001000102,28001,Adams,Other,False,2350.0,34,MERIT HEALTH NATCHEZ,5.280804289758535,5.3,7.0,0-15 min,False
3,28001000200,28001,Adams,Other,False,3930.0,34,MERIT HEALTH NATCHEZ,11.43999756349808,11.4,15.3,0-15 min,False
4,28001000300,28001,Adams,Other,False,1774.0,34,MERIT HEALTH NATCHEZ,6.4137467441435625,6.4,8.6,0-15 min,False
5,28001000400,28001,Adams,Other,False,2983.0,34,MERIT HEALTH NATCHEZ,5.687639444312575,5.7,7.6,0-15 min,False
6,28001000500,28001,Adams,Other,False,2966.0,34,MERIT HEALTH NATCHEZ,6.786208799222042,6.8,9.0,0-15 min,False
7,28001000600,28001,Adams,Other,False,2701.0,34,MERIT HEALTH NATCHEZ,4.812932902400985,4.8,6.4,0-15 min,False
37,28011950400,28011,Bolivar,Delta,True,3788.0,36,BOLIVAR MEDICAL CENTER,11.755047165850597,11.8,15.7,0-15 min,False
38,28011950500,28011,Bolivar,Delta,True,5183.0,36,BOLIVAR MEDICAL CENTER,10.163261193619745,10.2,13.6,0-15 min,False
51,28017950100,28017,Chickasaw,Other,False,3757.0,3,NORTH MISSISSIPPI MEDICAL CENTER,19.594109144723923,19.6,26.1,15-30 min,False
52,28017950200,28017,Chickasaw,Other,False,3343.0,27,CLAY COUNTY MEDICAL CORPORATION,27.818064679620218,27.8,37.1,15-30 min,False
53,28017950300,28017,Chickasaw,Other,False,4907.0,27,CLAY COUNTY MEDICAL CORPORATION,21.356162445791444,21.4,28.5,15-30 min,False
8,28001000700,28001,Adams,Other,False,1376.0,34,MERIT HEALTH NATCHEZ,5.924625537046242,5.9,7.9,0-15 min,False
9,28001000800,28001,Adams,Other,False,2840.0,34,MERIT HEALTH NATCHEZ,9.746727558222625,9.7,13.0,0-15 min,False
10,28001000900,28001,Adams,Other,False,3795.0,34,MERIT HEALTH NATCHEZ,3.618249693955286,3.6,4.8,0-15 min,False
11,28003950100,28003,Alcorn,Other,False,5244.0,6,MAGNOLIA REGIONAL HEALTH CENTER,9.905971634794389,9.9,13.2,0-15 min,False
54,28017950401,28017,Chickasaw,Other,False,2063.0,27,CLAY COUNTY MEDICAL CORPORATION,16.643876409652403,16.6,22.2,15-30 min,False
55,28017950402,28017,Chickasaw,Other,False,2954.0,27,CLAY COUNTY MEDICAL CORPORATION,19.382217094858763,19.4,25.8,15-30 min,False
56,28019950100,28019,Choctaw,Other,False,2318.0,23,BAPTIST MEMORIAL HOSPITAL-OKTIBBEHA COUNTY,22.12472738062187,22.1,29.5,15-30 min,False
57,28019950200,28019,Choctaw,Other,False,4197.0,23,BAPTIST MEMORIAL HOSPITAL-OKTIBBEHA COUNTY,23.309595949936,23.3,31.1,15-30 min,False
124,28033070830,28033,DeSoto,Delta,True,8318.0,14,BAPTIST MEMORIAL HOSPITAL NORTH MS,44.14842282888016,44.1,58.9,30-45 min,True
125,28033070900,28033,DeSoto,Delta,True,6412.0,14,BAPTIST MEMORIAL HOSPITAL NORTH MS,36.98834383285074,37.0,49.3,30-45 min,True
12,28003950201,28003,Alcorn,Other,False,3678.0,6,MAGNOLIA REGIONAL HEALTH CENTER,6.0050445652254965,6.0,8.0,0-15 min,False
39,28011950601,28011,Bolivar,Delta,True,2129.0,36,BOLIVAR MEDICAL CENTER,9.262818498601913,9.3,12.4,0-15 min,False
13,28003950202,28003,Alcorn,Other,False,3455.0,6,MAGNOLIA REGIONAL HEALTH CENTER,7.677663446530877,7.7,10.2,0-15 min,False
14,28003950300,28003,Alcorn,Other,False,3404.0,6,MAGNOLIA REGIONAL HEALTH CENTER,5.9280719892502525,5.9,7.9,0-15 min,False
15,28003950401,28003,Alcorn,Other,False,2808.0,6,MAGNOLIA REGIONAL HEALTH CENTER,6.943988341469174,6.9,9.3,0-15 min,False
16,28003950402,28003,Alcorn,Other,False,1737.0,6,MAGNOLIA REGIONAL HEALTH CENTER,9.161767149110815,9.2,12.2,0-15 min,False
17,28003950501,28003,Alcorn,Other,False,3901.0,6,MAGNOLIA REGIONAL HEALTH CENTER,2.805377012589012,2.8,3.7,0-15 min,False
42,28011950702,28011,Bolivar,Delta,True,3673.0,36,BOLIVAR MEDICAL CENTER,10.417611905663192,10.4,13.9,0-15 min,False
18,28003950502,28003,Alcorn,Other,False,2801.0,6,MAGNOLIA REGIONAL HEALTH CENTER,4.177739568587123,4.2,5.6,0-15 min,False
19,28003950600,28003,Alcorn,Other,False,3663.0,6,MAGNOLIA REGIONAL HEALTH CENTER,9.583622483701394,9.6,12.8,0-15 min,False
20,28003950700,28003,Alcorn,Other,False,4026.0,6,MAGNOLIA REGIONAL HEALTH CENTER,5.628713758851456,5.6,7.5,0-15 min,False
21,28005950100,28005,Amite,Other,False,4529.0,40,SOUTHWEST MS REGIONAL MEDICAL CENTER,17.854878560981522,17.9,23.8,15-30 min,False
22,28005950200,28005,Amite,Other,False,3668.0,34,MERIT HEALTH NATCHEZ,28.65793681276797,28.7,38.2,15-30 min,False
23,28005950301,28005,Amite,Other,False,2061.0,40,SOUTHWEST MS REGIONAL MEDICAL CENTER,33.29360134007109,33.3,44.4,30-45 min,True
24,28005950302,28005,Amite,Other,False,2425.0,40,SOUTHWEST MS REGIONAL MEDICAL CENTER,18.555121543570657,18.6,24.7,15-30 min,False
25,28007060100,28007,Attala,Other,False,2172.0,23,BAPTIST MEMORIAL HOSPITAL-OKTIBBEHA COUNTY,36.40209130876633,36.4,48.5,30-45 min,True
26,28007060200,28007,Attala,Other,False,2794.0,57,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,42.30729662390794,42.3,56.4,30-45 min,True
27,28007060300,28007,Attala,Other,False,3394.0,51,MERIT HEALTH RIVER OAKS,50.0417519558639,50.0,66.7,45-60 min,True
28,28007060400,28007,Attala,Other,False,2585.0,23,BAPTIST MEMORIAL HOSPITAL-OKTIBBEHA COUNTY,45.309118418016084,45.3,60.4,45-60 min,True
29,28007060500,28007,Attala,Other,False,3454.0,57,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,50.722073945455904,50.7,67.6,45-60 min,True
43,28013950100,28013,Calhoun,Other,False,3526.0,14,BAPTIST MEMORIAL HOSPITAL NORTH MS,22.36608674561622,22.4,29.8,15-30 min,False
