county_svi_quintile,hrrp_measure,n_hospital_measures,avg_excess_readmission_ratio,median_err,min_err,max_err,n_worse_than_expected,pct_worse_than_expected
1,READM-30-AMI-HRRP,3,1.0385,1.0311,0.9838,1.1007,2,66.7
1,READM-30-CABG-HRRP,2,1.0477,1.0477,1.0378,1.0575,2,100.0
1,READM-30-COPD-HRRP,10,1.0076,1.0093,0.9452,1.0456,6,60.0
1,READM-30-HF-HRRP,11,1.039,1.0517,0.9426,1.1472,8,72.7
1,READM-30-HIP-KNEE-HRRP,3,1.0468,1.034,0.9275,1.1789,2,66.7
1,READM-30-PN-HRRP,11,1.0133,1.0235,0.9541,1.0686,7,63.6
2,READM-30-AMI-HRRP,5,1.02,1.0267,0.9355,1.1158,3,60.0
2,READM-30-CABG-HRRP,4,0.9762,0.9542,0.8987,1.0975,1,25.0
2,READM-30-COPD-HRRP,8,1.0036,0.9974,0.9138,1.1176,4,50.0
2,READM-30-HF-HRRP,11,1.0302,1.0088,0.9807,1.1187,9,81.8
2,READM-30-HIP-KNEE-HRRP,3,0.95,0.9566,0.8584,1.035,1,33.3
2,READM-30-PN-HRRP,12,0.9942,0.9908,0.9129,1.1513,6,50.0
3,READM-30-AMI-HRRP,4,1.0198,1.0105,0.9913,1.0669,3,75.0
3,READM-30-CABG-HRRP,3,0.9754,0.9556,0.9117,1.0589,1,33.3
3,READM-30-COPD-HRRP,6,1.0151,1.0122,0.9768,1.0596,3,50.0
3,READM-30-HF-HRRP,7,1.0321,1.0451,0.9179,1.1072,5,71.4
3,READM-30-HIP-KNEE-HRRP,3,1.1275,1.115,0.9625,1.3049,2,66.7
3,READM-30-PN-HRRP,8,1.0314,1.0416,0.9728,1.0832,6,75.0
4,READM-30-AMI-HRRP,6,0.9967,0.9838,0.9063,1.0922,2,33.3
4,READM-30-CABG-HRRP,4,1.0226,1.0191,0.9656,1.0865,3,75.0
4,READM-30-COPD-HRRP,7,1.0005,1.0049,0.9582,1.0445,5,71.4
4,READM-30-HF-HRRP,9,1.0082,1.0037,0.9486,1.0484,6,66.7
4,READM-30-HIP-KNEE-HRRP,5,0.8842,0.858,0.7606,1.1173,1,20.0
4,READM-30-PN-HRRP,9,1.0405,1.0133,0.9583,1.1351,7,77.8
5,READM-30-AMI-HRRP,2,1.0377,1.0377,1.018,1.0574,2,100.0
5,READM-30-COPD-HRRP,4,1.0493,1.0418,0.9993,1.1143,3,75.0
5,READM-30-HF-HRRP,8,1.0002,0.9939,0.9738,1.04,3,37.5
5,READM-30-HIP-KNEE-HRRP,1,1.0299,1.0299,1.0299,1.0299,1,100.0
5,READM-30-PN-HRRP,7,1.0283,1.0457,0.9816,1.0804,5,71.4
