tract_fips,county_fips,county_name,region,is_delta,total_population,pre_existing_avg,mental_health_avg,access_risk_raw,structural_risk_raw,pre_existing_score,mental_health_score,access_score,structural_score,mri,mri_quintile,rpl_themes
28089030205,28089,Madison,Jackson Metro,False,3262,21.63,12.95,3.7,1.26,27.2,3.4,0.0,1.3,8.0,1,0.0126
28089030301,28089,Madison,Jackson Metro,False,7322,20.68,14.3,4.35,1.61,24.4,11.8,2.1,1.6,10.0,1,0.0161
28049001400,28049,Hinds,Jackson Metro,False,3187,18.88,14.3,4.0,10.34,19.2,11.8,1.0,10.3,10.6,1,0.1034
28045030502,28045,Hancock,Gulf Coast,False,2379,23.25,13.95,4.9,1.49,31.9,9.7,4.0,1.5,11.8,1,0.0149
28089030204,28089,Madison,Jackson Metro,False,4113,21.15,14.55,4.85,5.52,25.8,13.4,3.8,5.5,12.1,1,0.0552
28089030402,28089,Madison,Jackson Metro,False,10513,20.3,16.05,5.1,0.11,23.3,22.7,4.6,0.1,12.7,1,0.0011
28089030110,28089,Madison,Jackson Metro,False,3234,21.68,15.05,4.8,3.56,27.4,16.5,3.6,3.6,12.8,1,0.0356
28089030207,28089,Madison,Jackson Metro,False,3404,22.5,15.35,5.1,0.34,29.8,18.4,4.6,0.3,13.3,1,0.0034
28089030202,28089,Madison,Jackson Metro,False,5571,21.38,15.45,4.9,4.25,26.5,19.0,4.0,4.3,13.4,1,0.0425
28121020806,28121,Rankin,Jackson Metro,False,5598,20.93,16.15,5.3,2.53,25.2,23.4,5.3,2.5,14.1,1,0.0253
28121020210,28121,Rankin,Jackson Metro,False,5085,22.58,15.6,5.3,1.84,30.0,19.9,5.3,1.8,14.3,1,0.0184
28121020208,28121,Rankin,Jackson Metro,False,5833,24.05,15.15,5.45,0.8,34.3,17.1,5.8,0.8,14.5,1,0.008
28089030104,28089,Madison,Jackson Metro,False,2282,21.8,14.8,5.8,8.97,27.7,15.0,6.9,9.0,14.6,1,0.0897
28089030208,28089,Madison,Jackson Metro,False,6097,21.85,16.0,6.15,0.57,27.9,22.4,8.1,0.6,14.7,1,0.0057
28121020103,28121,Rankin,Jackson Metro,False,4923,22.83,16.0,5.5,0.46,30.7,22.4,5.9,0.5,14.9,1,0.0046
28049000200,28049,Hinds,Jackson Metro,False,4870,21.13,15.8,5.65,6.67,25.7,21.2,6.4,6.7,15.0,1,0.0667
28049010806,28049,Hinds,Jackson Metro,False,4242,22.33,14.45,5.8,12.64,29.2,12.8,6.9,12.6,15.4,1,0.1264
28121980000,28121,Rankin,Jackson Metro,False,56,25.18,14.7,6.7,0.0,37.6,14.3,9.9,0.0,15.4,1,0.0
28033070632,28033,DeSoto,Delta,True,3793,21.88,16.4,6.25,0.69,27.9,24.9,8.4,0.7,15.5,1,0.0069
28047000900,28047,Harrison,Gulf Coast,False,3137,12.3,19.1,8.85,4.83,0.0,41.7,17.0,4.8,15.9,1,0.0483
28033070631,28033,DeSoto,Delta,True,5389,22.7,16.15,6.2,2.07,30.3,23.4,8.2,2.1,16.0,1,0.0207
28089030206,28089,Madison,Jackson Metro,False,1779,23.33,12.4,4.55,29.31,32.2,0.0,2.8,29.3,16.1,1,0.2931
28047003106,28047,Harrison,Gulf Coast,False,2662,21.75,16.85,5.65,3.33,27.6,27.7,6.4,3.3,16.3,1,0.0333
28121020212,28121,Rankin,Jackson Metro,False,3848,22.93,16.6,6.25,1.38,31.0,26.2,8.4,1.4,16.7,1,0.0138
28059040600,28059,Jackson,Gulf Coast,False,5331,23.2,15.9,5.55,7.59,31.8,21.8,6.1,7.6,16.8,1,0.0759
28049001500,28049,Hinds,Jackson Metro,False,2820,18.05,17.8,6.2,9.08,16.8,33.6,8.2,9.1,16.9,1,0.0908
28033071123,28033,DeSoto,Delta,True,3961,22.2,17.3,5.75,2.41,28.9,30.5,6.8,2.4,17.1,1,0.0241
28033070634,28033,DeSoto,Delta,True,1319,24.0,16.4,6.55,0.23,34.1,24.9,9.4,0.2,17.2,1,0.0023
28073020206,28073,Lamar,Pine Belt,False,4852,22.58,16.7,5.8,5.4,30.0,26.8,6.9,5.4,17.3,1,0.054
28081950404,28081,Lee,Other,False,4771,24.2,15.9,6.4,3.91,34.7,21.8,8.9,3.9,17.3,1,0.0391
28047002900,28047,Harrison,Gulf Coast,False,1635,23.13,14.4,4.3,24.02,31.6,12.5,2.0,24.0,17.5,1,0.2402
28087980000,28087,Lowndes,Other,False,1428,12.53,19.2,8.55,11.15,0.7,42.4,16.0,11.2,17.5,1,0.1115
