county_fips,county_name,region,is_delta,county_pop,county_mri,pct_in_care_desert,imr_per_1000,svi_overall_pct,pct_uninsured,priority_score,priority_rank
28051,Holmes,Delta,True,16848,62.6,100.0,14.6,0.963,12.1,81.6,1
28125,Sharkey,Delta,True,3910,63.5,0.0,17.6,0.938,20.3,77.7,2
28021,Claiborne,Other,False,9044,55.5,57.4,15.4,0.728,19.5,77.0,3
28163,Yazoo,Delta,True,27467,58.4,88.4,12.1,0.975,13.7,76.9,4
28143,Tunica,Delta,True,9738,62.5,82.5,13.1,0.877,13.1,76.2,5
28079,Leake,Other,False,21335,48.9,100.0,13.5,0.778,15.9,75.4,6
28151,Washington,Delta,True,44604,55.7,0.0,16.7,0.988,13.4,62.9,7
28007,Attala,Other,False,17842,45.5,100.0,11.1,0.691,9.9,59.9,8
28027,Coahoma,Delta,True,21264,58.4,0.0,13.0,0.951,13.4,59.3,9
28011,Bolivar,Delta,True,30688,55.1,0.0,13.0,0.926,14.6,59.0,10
28099,Neshoba,Other,False,28970,51.1,82.8,6.4,0.716,12.7,58.8,11
28083,Leflore,Delta,True,27920,55.0,0.0,12.2,0.889,14.4,57.0,12
28119,Quitman,Delta,True,6113,61.2,0.0,7.7,0.852,15.8,56.5,13
28107,Panola,Delta,True,33157,48.0,40.9,11.4,0.605,13.6,53.7,14
28123,Scott,Other,False,27943,52.6,23.7,10.0,0.753,13.3,53.6,15
28133,Sunflower,Delta,True,25867,55.8,0.0,13.3,0.827,11.6,53.1,16
28113,Pike,Other,False,40098,52.7,0.0,12.9,0.84,12.7,53.0,17
28053,Humphreys,Delta,True,7744,65.6,0.0,,1.0,15.5,52.6,18
28063,Jefferson,Other,False,7207,54.4,0.0,14.5,0.79,11.3,52.5,19
28137,Tate,Delta,True,28094,41.6,68.9,10.7,0.519,12.9,52.4,20
28103,Noxubee,Other,False,10261,58.2,0.0,,0.914,18.7,51.9,21
28065,Jefferson Davis,Other,False,11291,50.0,41.5,10.6,0.556,12.7,51.5,22
28091,Marion,Other,False,24362,48.1,0.0,12.5,0.679,15.7,51.5,23
28135,Tallahatchie,Delta,True,12621,53.4,0.0,7.2,0.815,15.9,51.3,24
28153,Wayne,Other,False,19760,48.2,0.0,8.3,0.704,18.2,51.2,25
28009,Benton,Other,False,7637,45.4,38.4,10.5,0.432,13.8,47.7,26
28077,Lawrence,Other,False,11933,52.6,0.0,9.9,0.642,13.9,47.4,27
28017,Chickasaw,Other,False,17024,52.3,0.0,11.8,0.765,10.6,46.7,28
28093,Marshall,Other,False,33980,48.2,50.8,8.1,0.494,11.6,46.7,29
28159,Winston,Other,False,17741,48.3,40.3,11.1,0.395,11.0,45.2,30
28101,Newton,Other,False,21275,42.5,30.6,14.0,0.185,14.3,44.4,31
28055,Issaquena,Delta,True,1206,59.9,0.0,,0.901,12.8,43.4,32
28097,Montgomery,Other,False,9803,49.3,0.0,11.4,0.741,9.7,42.9,33
28139,Tippah,Other,False,21769,46.4,0.0,8.3,0.63,14.2,42.6,34
28001,Adams,Other,False,29425,47.7,0.0,6.6,0.803,12.7,42.4,35
28069,Kemper,Other,False,8980,50.5,0.0,,0.864,14.8,40.9,36
28013,Calhoun,Other,False,13193,49.0,0.0,9.3,0.593,11.5,40.2,37
28049,Hinds,Jackson Metro,False,226541,43.8,0.0,9.2,0.654,12.5,40.1,38
28029,Copiah,Other,False,28210,45.3,0.0,9.3,0.457,14.4,40.0,39
