county_fips,county_name,rpl_themes,pct_uninsured
28001,Adams County,0.8025,12.7
28003,Alcorn County,0.5432,13.6
28005,Amite County,0.4691,11.4
28007,Attala County,0.6914,9.9
28009,Benton County,0.4321,13.8
28011,Bolivar County,0.9259,14.6
28013,Calhoun County,0.5926,11.5
28015,Carroll County,0.2469,7.5
28017,Chickasaw County,0.7654,10.6
28019,Choctaw County,0.1975,12.4
28021,Claiborne County,0.7284,19.5
28023,Clarke County,0.3827,14.0
28025,Clay County,0.5062,11.5
28027,Coahoma County,0.9506,13.4
28029,Copiah County,0.4568,14.4
28031,Covington County,0.284,9.9
28033,DeSoto County,0.0617,8.9
28035,Forrest County,0.6173,11.4
28037,Franklin County,0.1605,10.9
28039,George County,0.4198,13.6
28041,Greene County,0.4444,14.1
28043,Grenada County,0.4815,12.8
28045,Hancock County,0.037,10.3
28047,Harrison County,0.5679,14.1
28049,Hinds County,0.6543,12.5
28051,Holmes County,0.963,12.1
28053,Humphreys County,1.0,15.5
28055,Issaquena County,0.9012,12.8
28057,Itawamba County,0.0,10.5
28059,Jackson County,0.3704,12.9
28061,Jasper County,0.1358,11.3
28063,Jefferson County,0.7901,11.3
28065,Jefferson Davis County,0.5556,12.7
28067,Jones County,0.2716,11.0
28069,Kemper County,0.8642,14.8
28071,Lafayette County,0.0247,9.1
28073,Lamar County,0.0864,12.7
28075,Lauderdale County,0.6667,9.9
28077,Lawrence County,0.642,13.9
28079,Leake County,0.7778,15.9
28081,Lee County,0.2346,11.2
28083,Leflore County,0.8889,14.4
28085,Lincoln County,0.1111,13.9
28087,Lowndes County,0.2222,10.6
28089,Madison County,0.0494,7.4
28091,Marion County,0.679,15.7
28093,Marshall County,0.4938,11.6
28095,Monroe County,0.0741,10.5
28097,Montgomery County,0.7407,9.7
28099,Neshoba County,0.716,12.7
28101,Newton County,0.1852,14.3
28103,Noxubee County,0.9136,18.7
28105,Oktibbeha County,0.2099,7.9
28107,Panola County,0.6049,13.6
28109,Pearl River County,0.1481,13.1
28111,Perry County,0.321,14.1
28113,Pike County,0.8395,12.7
28115,Pontotoc County,0.1728,12.0
28117,Prentiss County,0.1235,8.8
28119,Quitman County,0.8519,15.8
28121,Rankin County,0.0123,9.3
28123,Scott County,0.7531,13.3
28125,Sharkey County,0.9383,20.3
28127,Simpson County,0.2963,12.7
28129,Smith County,0.358,15.0
28131,Stone County,0.4074,12.5
28133,Sunflower County,0.8272,11.6
28135,Tallahatchie County,0.8148,15.9
28137,Tate County,0.5185,12.9
28139,Tippah County,0.6296,14.2
28141,Tishomingo County,0.3333,12.0
28143,Tunica County,0.8765,13.1
28145,Union County,0.2593,10.1
28147,Walthall County,0.5802,10.4
28149,Warren County,0.3457,11.2
28151,Washington County,0.9877,13.4
28153,Wayne County,0.7037,18.2
28155,Webster County,0.0988,13.5
28157,Wilkinson County,0.5309,9.8
28159,Winston County,0.3951,11.0
28161,Yalobusha County,0.3086,13.2
28163,Yazoo County,0.9753,13.7
